시가,고가,저가,종가,거래량,거래대금,등락률
1590,1605,1570,1605,150733,240177325,2.23
2770,2815,2645,2645,92288,253637960,-2.94
2290,2370,2240,2270,1461465,3351182950,-0.44
6690,6750,6640,6680,322062,2151822490,0.3
15700,15700,15200,15250,77383,1185360650,-2.87
3000,3080,2990,3015,56384,171776440,1.01
10850,10950,10550,10650,29807,319307400,-0.93
733,740,715,719,330115,237499705,-1.51
3165,3185,3080,3095,393176,1225658885,-3.43
1715,1715,1640,1700,177287,295657935,-0.29
6610,6680,6510,6570,59902,395549640,-0.15
28200,28600,28200,28500,3863,109958200,1.24
1610,1705,1565,1575,9248247,15118125740,-1.56
3170,3200,3080,3145,250250,785527370,-0.16
6180,6200,6060,6170,27147,166547650,1.98
1115,1120,1100,1110,73158,81097495,0.0
1410,1445,1370,1445,51970,73586545,5.47
84700,84700,83400,83700,87818,7380292200,0.0
21050,21100,20550,20600,33157,685940750,-2.14
5780,5810,5640,5700,432307,2470248750,-0.87
0,0,0,1610,0,0,0.0
6500,6530,6420,6460,59884,387762160,-0.77
7570,7570,7480,7530,34043,255622790,-0.4
15600,15600,15150,15450,471864,7254781750,0.65
2655,2705,2580,2590,1340757,3518118985,-2.26
24500,24700,24300,24700,25236,620094650,0.82
13600,13750,12900,12950,117526,1557931450,-5.13
18650,18650,18250,18350,12844,236590550,-0.54
7900,7910,7800,7890,5004,39169920,-0.13
26800,26800,25850,26100,14361,374970400,-1.88
3170,3245,3150,3150,381814,1219941810,-1.41
8220,8370,8220,8350,33587,279376480,1.46
9650,9790,9400,9700,206867,1982080590,0.52
3460,3470,3375,3380,37375,127586710,-1.17
552,570,547,551,242946,134489692,0.36
3760,3790,3610,3720,137601,507826795,-0.8
6710,6710,6540,6540,25263,165956000,-0.76
35500,35600,34450,34800,236877,8270026250,-1.42
27550,28300,27300,27900,95067,2658594350,3.14
4015,4065,3975,4065,614169,2463668840,1.5
8400,8450,8330,8400,26767,223935190,-0.12
4805,4820,4725,4815,37166,177255950,0.94
20050,20400,19700,20350,21249,427940150,1.5
1570,1630,1535,1565,133742,210162705,0.97
3520,3540,3410,3415,445675,1533242675,-2.43
7590,7590,7470,7570,2371,17893020,-0.26
16350,16350,15950,15950,241642,3885039850,-1.85
16900,16950,16350,16500,97372,1616837400,-1.79
19950,20100,19550,19900,23208,459019950,-0.25
1950,2000,1920,1950,554999,1089757460,0.0
602,602,585,588,60465,35810170,-1.84
7750,7820,7550,7710,211432,1628025860,-0.52
51600,51900,50900,51000,19962,1021841800,-0.78
13950,13950,13400,13700,516058,7029305200,-1.44
11500,11550,11000,11400,45289,514846450,-0.44
8150,8210,7950,7970,89564,719744150,-1.97
9910,9990,9810,9890,69960,691484190,-0.1
23350,23950,23100,23400,22979,537568400,-0.43
2065,2145,1985,2045,441637,900503255,0.0
8240,8280,7950,7970,281009,2274861430,-2.8
5080,5100,5010,5050,1051222,5311716210,0.6
5670,5670,5560,5610,58741,329492700,-0.36
8210,8240,8120,8200,28875,236064520,-0.12
0,0,0,5770,0,0,0.0
8930,8980,8840,8860,18279,162534980,-0.56
